Model,Train_N,Test_N,Train_Base_Rate,Test_Base_Rate,ROC_AUC,Average_Precision,Brier_Score,Threshold_0.5_TN,Threshold_0.5_FP,Threshold_0.5_FN,Threshold_0.5_TP,Selected
Logistic regression,1090,1435,0.5146788990825688,0.37073170731707317,0.6408161183690123,0.45823259657865967,0.23412865147609682,574,329,213,319,True
Histogram gradient boosting,1090,1435,0.5146788990825688,0.37073170731707317,0.5932376622619673,0.43366633677270566,0.2505516270732709,547,356,268,264,False
