STATE,Total_Load_Growth_MW,Near_Term_Load_Growth_MW
AR,1973,1973
IA,5546,5546
IL,738,738
IN,11997,10759
KY,2282,482
LA,5938,3938
MI,3603,3603
MN,3058,3058
MO,4042,4042
MS,2543,2543
ND,2116,2116
WI,6855,6855
